,Tid på dagen,,,,,,,,,,,,,,
,Tid,60,75,120,90,75,75,75,"9,5",,,,,,
,Info,12k,15k,25-30k,20k,20k,17k,Ev. Vila,,,,,,,
,,,,,,,,,,,,,,,
,KM,,,,,,,13,13,,,,,,
,VECKA 10,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,,Easy run,Easy run,Easy run,30 LT,Easy OL,Easy run,8,,,,,,
,,,,,GYM,,,GYM,,,,,,,
,Intensitet,,med,med,Låg,med,Låg,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,,25,25,110,75,50,110,"6,583333333",,,,,,
,Info,VILA (SJUK),,,Knästabilitet och rörlighet,30 min i 4:20,,Knästabilitet och rörlighet,,,,,,,
,,,,,,,,,,,,,,,
,KM,,5,5,10,15,10,10,55,,,,,,
,VECKA 11,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,5x4,Easy run,45 LT,Easy run,2 + 1,Easy run,8,,,,,,
,,,,,,,Easy run morning 6k,,,,,,,,
,Intensitet,Låg,hög,Låg,med,Låg,hög,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,60,60,50,75,,90,120,"7,583333333",,,,,,
,Info,,~3:35,,45 min i 4:20,,4x2/1 + 6x1/1,,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,10,10,15,,15,20,80,,,,,,
,VECKA 12,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,45 LT,Easy run,Easy run,Easy run,5k TT,Easy run,Easy run,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,med,Låg,Låg,Låg,hög,Låg,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,75,50,50,25,60,50,90,"6,666666667",,,,,,
,Info,45 min i 4:20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,15,10,10,5,10,10,17,77,,,,,,
,VECKA 13,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,45 LT,Tisdagsbana/Snabbare dist,Easy run,2 + 1,Sprint hårt,Easy run,Tävling OL,8,,,,,,
,,,Runclub IT,,,,,,,,,,,,
,Intensitet,med,med,Låg,hög,hög,Låg,Race,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,75,120,50,50,50,45,50,"7,333333333",,,,,,
,Info,45 min i 4:20,,,4x2/1 + 6x1/1,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,14,23,9,9,11,8,12,86,,,,,,
,VECKA 14,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,Fartlek,Easy OL,Easy run,SL #1 Sprint,Ålands 2dagars,Ålands 2dagars,8,,,,,,
,,,,,Cykel 90min,,,,,,,,,,
,Intensitet,Låg,med,Låg,Låg,Race,Race,Race,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,,60,50,120,40,60,75,"6,75",,,,,,
,Info,4x1/1 strides,2x1000 + 4x500 flytfart,,4x1/1 strides,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,,10,,10,6,10,14,50,,,,,,
,VECKA 15,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Cykel 2h,5x4 trösk ,Easy run,Easy run IT runclub,SM natt,Easy run,Stafettligan,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,Låg,med,Låg,Låg,Race,Låg,Race,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,150,60,50,30,90,30,60,"7,833333333",,,,,,
,Info,,5x4 kontrollerat,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,,10,10,7,18,6,12,63,,,,,,
,VECKA 16,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,200ingar,5x4 trösk ,Easy run,Easy run,Easy run,OL Dist,9,,,,,,
,,Cykel,Cykel med Edvin,,,,,,,,,,,,
,Intensitet,Låg,hög,med,Låg,Låg,Låg,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,150,150,60,45,45,45,120,"10,25",,,,,,
,Info,,8x200/2min @29-33,5x4 kontrollerat,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,7,10,8,,12,15,62,,,,,,
,VECKA 17,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,200ingar,Easy run runclub,Fartlek,200ingar,Cykel,Easy run,Å milen,8,,,,,,
